id,Search,Title,Location,Company,Salary,Summary,Post_Date,Link
0,Insurance,Pre-License Insurance Representative,None,Teleperformance,$18 an hour,None,23 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnOspXlqvBij5MVCjU8I6fmm3xkVRH34xL6sLJFnsf4W3h3dv-oFnx9AKRRqY7HurqsEmDSrlsiSw2yTWCUp52CVLO10aHiTmLwjcYvtdPNHcRTogx76CoiwemxBwxbdLCxfyooE6onXJYaHIZOG6FmZPiAxqHQht5fNBkc59MOYRxStcREBpqAunvM6Mc8iqAYk4u4KqBjnJYA-f598ubyEbhBDAOW9ZnvZPZ97MEVhJ1JMayoFIIMURjxZjXZxWYBS1QvEVktqHCU7fbwmjygw42rjSPc-JwcSvT6TvKCyyHXPUamvmmKzeRfasOwGYOKMGnyI3eLPFKh3M7J4ESWwNlODZXvPj8WwWxQbRhYvvpXflH9KFp8mW-RP1EAXTBzLCh2E7U6X6N2plccNmu3UgSb96omM_Ur56obED1GWNwZIJDzQomjwOrf9n_5tnKRZqLmGy1JkJlMgw8MO8YjDbdUMj1sGe0GJvwuKSxb1_ZnhbL9cYJ&p=0&fvj=0&vjs=3
1,Insurance,Insurance Customer Service-Account Manager,None,Kraft Insurance,"$36,000 - $45,000 a year",None,5 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeooueZAzwkq-D7tpfHhjFmrqa4razJ43ren8YUyRAiJFDcYQ_kN-3lrk9dMonrKrNXwmQomYUF20YsULmbHQbdbNQgdvRE3XBOKLy-22bvp4lrevmmJrZzmm7aukAW9Gf3PqluI1EJBRDhXEzOnU74uB-79uEnNn6b3Whqvtd2DSeCUM0onrFwGU-oS0X0m5To7cO6cr_9XoCHHtj5la7no432aSFZaG98exgEvq_qjKoPBz7iDH86wkIJfBjCMT1HU_3C9Bk69AzBxH4QRXYddjHH04Mz4SOhHphTI4WywYOJCXryS201JnLI4VSQXcEkYZx-KxDzfLrnXM73CHjMCW1rBh9_oVwGDL26DohxjGG1YZfFf0wwmvfenNEvVD1WZ85Yq5Yf7wILQRdhE3R-bmURouGFe3dfJjZxq9vfJ9D9SflL30Vc6RmwDCwCW-iRve1tWdPHuq6mEu8Uq-a8lZvpRRWfDo=&p=1&fvj=1&vjs=3
2,Insurance,"Licensed Insurance Agent - $3,750 Training Bonus",None,SelectQuote Insurance Services,"$70,000 - $150,000 a year",None,5 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1gwmguqsmjX6v2IUB1KdCWulH2APaYLO_uo3If-KgquNp0a61VXyDt0-dZd6_gNoWrGKnrGkQO0TacXu-BB5QpRcE968iLOdEseg4J_QSSXecYGRmRysnpR9vs935-YNJHG5-EA68UxXBA2rjk9vKVB2xvt1r65D0fj0ZuQsFtFj-s5zhNBM170SYQPUgNiI5zhxtMzc1zmvv7LRg9mt7AaLJX-2MJbdNlOwvaPcCHQ-qEJ8wp1R9PAhl_CQULEuAX9hl59hQacs0hBeWbAhh1oPcUEIQchWeOraQxfUXwIzyGyemqLtEh4irn5dOJwSQsAZ7UsuVu20RIo5OqodlduSM0bq0VqH97aGXH1-N4UVfgMJxzlmvdd5-61vZBh6hXyvr7uRVMfstL7NjdkUYkqu5wa2UR_hMu9gXDc93QWsYf5CnqmQjmSOfXoNc3dT0h0qKfZOnB-0NC2hTUaAizLQSVoE4WhG889hml9E_1Q==&p=2&fvj=1&vjs=3
3,Insurance,Insurance Defense Attorney - Salt Lake City,None,Liberty Mutual Insurance,"$70,000 - $71,700 a year",None,13 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmtyN1790OMUCQ1uW8JAgsJaWAMD6Ai2USOSsuNMJ3sP9CWtEVI8Yuj16cznxFxo8-CeCZn1GFbQqblWdLkK-6xH4ZihBQvB81gDS87vDTqCjJsM6WC80BGUFl63J5xZ8NTFnZ8VclrXALRLzkyyK2qav0eXXZuXm7_ZLOxD_dvrps6qIIOl9WEu1G0LbvZVuFVCLMjp-0WY88RFgnJ-iQ4Fw_qbqN2bW51H1gQ9hzM3lGDxtmcPZgLrZBm65EEOfXu-Ih7b0YBSpRcj-NFLeVdTCiaR1T2fTtoTD3bQ0lu_qHrwHIlzaVzPc96-xwWpQEDJlg7CRLMNC7gdBBz9sVSsWx8G5VAobm_gls9nT5KymGvdGAI0EtWxlh3u8ofnDN70TrfpFczQdL0bprmRuky80K917WeklmKKUKC9usyETPMOWChbTqOtiaWnBvxykKZfgLPAAHoura4lfprYt4m0QuEbMYYwizszBoq1PicE-rkCyYsLEyCWoLX7hRo_VOIsML8GWjsJBBRfb6cPdcxnkZC4fwdu8ljDK_XrPk7cqrfLTeIQj-k7HZh03sEDOExLJId4HXEk6EFUsoRnJGRw5XjUt3LTBXpDgoNoWPW1edgfefTn-0bIBrQctnhOnYjfPMrI4iri234BFY94I9MKVcgWKc_9idMiNcyySVHRT7gTYp3d8-gGDDNwbedNeKqLIQh1bwH4K73p-v44ntCv-Y6wAeAGbiwwY1FN0lU6qItmGJ2nQ6NhMOcCcl_sc9B9aLzfWLw8jEUPdRAHEIERf-Oe1M6r5G6jnseRw_Icf8&p=3&fvj=0&vjs=3
4,Insurance,"Life & Health Licensed Insurance Agent - $1,000 BONUS!",None,Sitel,$17 an hour,None,3 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBtZxUpP1QTOYFeIJnsNrvL2IvFQoGtsAuEWSa46ujWUsMNjC6JpPkf6HUpm6u5RhyuGAp2O2sbNlx167XKQArxHbVR1XECRChfWkYvjoFgmUnQmHh6O7pP6Ic7MpckHQAyw5hzDdyZFhxbgz2Prbqcb7sf99wTyhokrMZ5XG3My7I7drZwcPZ9Q_fpiAFfZEmQFhoO2sp2coNtN4zbMVHSTkd8HvB6h33rdS0sWUhS6TzfMPjx9_8eQsDg1pWn47X3JH4aU3BXmsJ1dObiQHt6tTHu9_Z2M2AQ_NT8mLJDfJhGfWT-GVd-Kw93GqXJ6_g2SDSbLMpPdrkEgDMwB0YPgCJCeL5pd1WzTA7BCU3lhg1y5UnxhjZrqeI1KDOb12CyS6DEmXu2xWA5KEIfvx_qBsq50gdypbUKCfW5_6_C13oraHcR7NSpa4LZ8H1AjV6vO8L7sfD2qdQvGPsnEWKZwaQdeFDSvV5Lzk6wMUWABgGAxUQNu0JrPLD-dnnDiErTXPtXdZg-gYrfbcb_Yu7Ky3E4-4FDSI=&p=4&fvj=1&vjs=3
5,Insurance,Pre-License Insurance Agent,None,Teleperformance,$17 an hour,None,24 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnOspXlqvBij5MVCjU8I6fmm3xkVRH34xL6sLJFnsf4WUkAf6MkRqMVdVgKXx_Ld3aRR8HfQmcyD1GlA9wfJ7782CwdTRhtTDNuxC5tYvbkdQMSmgq9xytEw4GfFhVzRy8k0eij8xpcrmOGNxJoL29VK7s7acDvwnog6nhhJeUhzv634wFt7FHcra1ETIoi4JFLnCXkBSAsGAzoLhQV4tunOqfDe-lTWY2QXTeFqsHaEP-14TVE50pTO3qCrPkb6T3mg-Hmq-YEJTCPZHOXXRu_VXn2TQdOMrebkPYCWneDWgiNOWXE325JwqWvMvYAsqSjZnjIDaTNrvGC-K4qGGQSQx4z8Yn5hSf-2Lksgg5Mv5aMuc3syU3IUnsI5x22UajSSQtzQo7pF9g6don8fxynrJ0MW-u5dYaGfsUek4bntO4PWqseY7n6u1pwiHWiBhgNYfDvvFljPR1otXjGoDQh7e8MBYQ2ZmOWyTaGKfIv-FhwUx1hY0w&p=5&fvj=0&vjs=3
6,Insurance,Licensed Health Insurance Agents $18/hour Work From Home,None,Teleperformance,$18 an hour,None,20 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AnOspXlqvBij5MVCjU8I6fmm3xkVRH34xL6sLJFnsf4SXeCdifZARKYr18aoZswJA3jaUvikRUspMIRCOmDY3q63_w7MMncXkQAh7qMr8gtSTQCELer-OE_8kzjTeAda3aNIBU4O_mJhNKoiHYuynT66wSMV5EwWs4tmXhGvFQd8h__OVntNcc2ubcQEHbDusevnUCuPM6pMTKIYsAzh_bT_CClZdKvxHFHnJQtj72Gz53w1WsbY0kQBIlGpRluz929Tq53YN2lGkPa2IFAIvcD8IN6GG9ayD9rh-F7mvZ13xf4GrZIJUsgzEmarCFrGz8FUG7sGEiOcskakG2RGyj6u8CBQuQhGzrafgzIBprg3CmNzQQhOObaqqIIhHMfkwZJPoSS9EeFLgO9eFwjCveUBsq05LZPoP_nrMLrb8_bNdgY9e7dDJmiCh2hCTM9HLvAzQogp1cnmTxXc-_yuSTjXLa5pZYV_UWAZzgmhAUFXlY7o0PzmNe&p=6&fvj=0&vjs=3
7,Insurance,Licensed Health Insurance Agent (Remote/WFH),None,Teleperformance,$18.50 - $21.50 an hour,None,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6ATaZ9I_05EX_lnWQvWBJMxxJss1P-f3066N0hRUeoteJolScMIrk27FgOaBeDrsgSSuBhUoPfH3Rirw54enPFp2VNrR0sxWXmBnj5IXQs9wLTfztwuFXSPYevZRd3Sw_SCIs9pHi1ph4r-B-CrA_DdHE2zKz0LMgJT5YpyIPrKV67bM6aj6LmZMX4uYEi9V2eWj-kDYG9KlfbXs-2KT4uCzCjoq8euUl4TgL_OmnTKBRKm-L3flUGn5kIFjoKRu-4WlneQiEMM93k-P2wUG8qNbJF99Zme_GrOL6alF4VF9yjJm3cEgkN6I3qPZCf104w9F0NTgWTXQzL9urGJZkLBRCBMe2mb44QW_xaS6pNdMtCIrf6Xuzalv7piQ4hhiLrJXTRNcP_B7aTQNq24MTH-juEPUH84WYxZCIwJsBYhMvG2ifjmXpmwiiFuwdaFrSE6398rsKy5&p=7&fvj=1&vjs=3
8,Insurance,Virtual Inside Sales Representative,"Liberty Lake, WA 99016",Liberty Mutual Insurance,"$50,000 - $65,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=07ff9a108c6c4667&fccid=f33a9750898d12d4&vjs=3
9,Insurance,Pre-License Insurance Representative,"Ogden, UT 84201",Teleperformance,$18 an hour,None,22 days ago,https://www.indeed.com/rc/clk?jk=6067a4526c001a01&fccid=02e72612c7c0d1ce&vjs=3
